id,label_itc,taxon,device,start_datetime,end_datetime
11.398948ee.1593036000,11,A. rubi,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.398948ee.1593640800,11,A. rubi,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.398948ee.1594245600,11,A. rubi,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.398948ee.1594850400,11,A. rubi,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.5595c586.1593036000,11,A. rubi,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.5595c586.1593640800,11,A. rubi,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.5595c586.1594245600,11,A. rubi,5595c586,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.5595c586.1594850400,11,A. rubi,5595c586,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.5c173ff2.1593036000,11,A. rubi,5c173ff2,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.5c173ff2.1593640800,11,A. rubi,5c173ff2,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.5c173ff2.1594245600,11,A. rubi,5c173ff2,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.5c173ff2.1594850400,11,A. rubi,5c173ff2,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.d9699ed0.1593036000,11,A. rubi,d9699ed0,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.d9699ed0.1593640800,11,A. rubi,d9699ed0,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.d9699ed0.1594245600,11,A. rubi,d9699ed0,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.d9699ed0.1594850400,11,A. rubi,d9699ed0,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.f54ac578.1593036000,11,A. rubi,f54ac578,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.f54ac578.1593640800,11,A. rubi,f54ac578,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.f54ac578.1594245600,11,A. rubi,f54ac578,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.f54ac578.1594850400,11,A. rubi,f54ac578,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
11.f8d61a5c.1593036000,11,A. rubi,f8d61a5c,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
11.f8d61a5c.1593640800,11,A. rubi,f8d61a5c,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
11.f8d61a5c.1594245600,11,A. rubi,f8d61a5c,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
11.f8d61a5c.1594850400,11,A. rubi,f8d61a5c,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.08038ade.1593036000,12,P. vigintimaculata,08038ade,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.08038ade.1593640800,12,P. vigintimaculata,08038ade,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.08038ade.1594245600,12,P. vigintimaculata,08038ade,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.08038ade.1594850400,12,P. vigintimaculata,08038ade,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.0a5bb6f4.1593036000,12,P. vigintimaculata,0a5bb6f4,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.0a5bb6f4.1593640800,12,P. vigintimaculata,0a5bb6f4,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.0a5bb6f4.1594245600,12,P. vigintimaculata,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.0a5bb6f4.1594850400,12,P. vigintimaculata,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.15e612cd.1593036000,12,P. vigintimaculata,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.15e612cd.1593640800,12,P. vigintimaculata,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.15e612cd.1594245600,12,P. vigintimaculata,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.15e612cd.1594850400,12,P. vigintimaculata,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.1b74105a.1593036000,12,P. vigintimaculata,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.1b74105a.1593640800,12,P. vigintimaculata,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.1b74105a.1594245600,12,P. vigintimaculata,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.1b74105a.1594850400,12,P. vigintimaculata,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.398948ee.1593036000,12,P. vigintimaculata,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.398948ee.1593640800,12,P. vigintimaculata,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.398948ee.1594245600,12,P. vigintimaculata,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.398948ee.1594850400,12,P. vigintimaculata,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.5595c586.1593036000,12,P. vigintimaculata,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.5595c586.1593640800,12,P. vigintimaculata,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.5595c586.1594245600,12,P. vigintimaculata,5595c586,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.5595c586.1594850400,12,P. vigintimaculata,5595c586,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.5c173ff2.1593036000,12,P. vigintimaculata,5c173ff2,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.5c173ff2.1593640800,12,P. vigintimaculata,5c173ff2,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.5c173ff2.1594245600,12,P. vigintimaculata,5c173ff2,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.5c173ff2.1594850400,12,P. vigintimaculata,5c173ff2,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.d9699ed0.1593036000,12,P. vigintimaculata,d9699ed0,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.d9699ed0.1593640800,12,P. vigintimaculata,d9699ed0,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.d9699ed0.1594245600,12,P. vigintimaculata,d9699ed0,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.d9699ed0.1594850400,12,P. vigintimaculata,d9699ed0,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.f54ac578.1593036000,12,P. vigintimaculata,f54ac578,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.f54ac578.1593640800,12,P. vigintimaculata,f54ac578,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.f54ac578.1594245600,12,P. vigintimaculata,f54ac578,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.f54ac578.1594850400,12,P. vigintimaculata,f54ac578,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
12.f8d61a5c.1593036000,12,P. vigintimaculata,f8d61a5c,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
12.f8d61a5c.1593640800,12,P. vigintimaculata,f8d61a5c,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
12.f8d61a5c.1594245600,12,P. vigintimaculata,f8d61a5c,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
12.f8d61a5c.1594850400,12,P. vigintimaculata,f8d61a5c,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.08038ade.1593036000,13,Elateridae,08038ade,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.08038ade.1593640800,13,Elateridae,08038ade,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
13.08038ade.1594245600,13,Elateridae,08038ade,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
13.08038ade.1594850400,13,Elateridae,08038ade,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.0a5bb6f4.1593036000,13,Elateridae,0a5bb6f4,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.0a5bb6f4.1593640800,13,Elateridae,0a5bb6f4,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
13.0a5bb6f4.1594245600,13,Elateridae,0a5bb6f4,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
13.0a5bb6f4.1594850400,13,Elateridae,0a5bb6f4,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.15e612cd.1593036000,13,Elateridae,15e612cd,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.15e612cd.1593640800,13,Elateridae,15e612cd,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
13.15e612cd.1594245600,13,Elateridae,15e612cd,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
13.15e612cd.1594850400,13,Elateridae,15e612cd,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.1b74105a.1593036000,13,Elateridae,1b74105a,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.1b74105a.1593640800,13,Elateridae,1b74105a,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
13.1b74105a.1594245600,13,Elateridae,1b74105a,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
13.1b74105a.1594850400,13,Elateridae,1b74105a,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.398948ee.1593036000,13,Elateridae,398948ee,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.398948ee.1593640800,13,Elateridae,398948ee,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
